,f,P
2214,-91.89453125,-187.62812858726446
2215,-91.845703125,-187.01574767758416
2216,-91.796875,-188.35756279567906
2217,-91.748046875,-188.9920365992277
2218,-91.69921875,-187.866502760903
2219,-91.650390625,-187.32298780431148
2220,-91.6015625,-188.8699329054985
2221,-91.552734375,-187.56133629957213
2222,-91.50390625,-186.93321913860353
2223,-91.455078125,-183.589577572039
2224,-91.40625,-186.39662993829089
2225,-91.357421875,-188.41776401917633
2226,-91.30859375,-186.16323166404698
2227,-91.259765625,-187.2899294249002
2228,-91.2109375,-187.7781740282329
2229,-91.162109375,-188.10837614630483
2230,-91.11328125,-186.0579458174814
2231,-91.064453125,-189.227071575786
2232,-91.015625,-187.3255582715144
2233,-90.966796875,-186.36104944305694
2234,-90.91796875,-185.19697702932805
2235,-90.869140625,-186.73849390950988
2236,-90.8203125,-187.46578895203174
2237,-90.771484375,-189.7818142203099
2238,-90.72265625,-185.4881939998968
2239,-90.673828125,-187.7536141728184
2240,-90.625,-190.05740357792948
2241,-90.576171875,-188.4799562423556
2242,-90.52734375,-189.27534051032322
2243,-90.478515625,-187.1423379076459
2244,-90.4296875,-189.07231819916325
2245,-90.380859375,-190.33773482128615
2246,-90.33203125,-184.94686295506799
2247,-90.283203125,-188.60949214165964
2248,-90.234375,-187.4603792890071
2249,-90.185546875,-188.00625682546965
2250,-90.13671875,-189.51364117631312
2251,-90.087890625,-187.34082662283862
2252,-90.0390625,-184.39762149959245
2253,-89.990234375,-186.75301227818485
2254,-89.94140625,-188.0657660357889
2255,-89.892578125,-189.7901874002664
2256,-89.84375,-189.7415057842192
2257,-89.794921875,-186.11387780935124
2258,-89.74609375,-185.06752862663961
2259,-89.697265625,-186.99427873674352
2260,-89.6484375,-190.5986857805223
2261,-89.599609375,-189.13180718530054
2262,-89.55078125,-186.9444349452091
2263,-89.501953125,-184.62931263651677
2264,-89.453125,-191.04625039671618
2265,-89.404296875,-187.19014749897312
2266,-89.35546875,-189.20726199634026
2267,-89.306640625,-185.0988334016589
2268,-89.2578125,-184.9113663901598
2269,-89.208984375,-190.15527669512667
2270,-89.16015625,-189.08316784924932
2271,-89.111328125,-187.32164735047357
2272,-89.0625,-186.10891173345414
2273,-89.013671875,-186.41612228430304
2274,-88.96484375,-188.89477781520776
2275,-88.916015625,-187.75794878246595
2276,-88.8671875,-185.06859819982589
2277,-88.818359375,-186.67993100047053
2278,-88.76953125,-190.50264912427335
2279,-88.720703125,-188.15108164589978
2280,-88.671875,-187.26223171924423
2281,-88.623046875,-187.90745260482424
2282,-88.57421875,-187.4801140832775
2283,-88.525390625,-185.03931094250038
2284,-88.4765625,-187.0119179463669
2285,-88.427734375,-189.10674988968995
2286,-88.37890625,-189.66998872301647
2287,-88.330078125,-185.6922423692428
2288,-88.28125,-184.4656578086742
2289,-88.232421875,-188.30627378544074
2290,-88.18359375,-186.60583155207246
2291,-88.134765625,-186.03486386368903
2292,-88.0859375,-185.76904735393498
2293,-88.037109375,-186.2115135225258
2294,-87.98828125,-187.92601890042326
2295,-87.939453125,-185.42023240720405
2296,-87.890625,-187.30137387252336
2297,-87.841796875,-189.92892761064513
2298,-87.79296875,-190.4576503048736
2299,-87.744140625,-186.9340618555361
2300,-87.6953125,-186.2295385049455
2301,-87.646484375,-186.16658665889912
2302,-87.59765625,-187.78255301811237
2303,-87.548828125,-188.30711416399458
2304,-87.5,-190.65764652532644
2305,-87.451171875,-185.53570810641122
2306,-87.40234375,-187.6437403600942
2307,-87.353515625,-187.69293234376642
2308,-87.3046875,-187.42231791995277
2309,-87.255859375,-187.40304670871686
2310,-87.20703125,-188.8076508249184
2311,-87.158203125,-188.59649347803065
2312,-87.109375,-189.01889026939895
2313,-87.060546875,-189.57478859598507
2314,-87.01171875,-188.92324699863437
2315,-86.962890625,-187.2507907478103
2316,-86.9140625,-186.52001148245702
2317,-86.865234375,-188.85897052435917
2318,-86.81640625,-188.18635294996494
2319,-86.767578125,-187.5978560985868
2320,-86.71875,-188.8627696031254
2321,-86.669921875,-188.5350597779819
2322,-86.62109375,-188.88947946435127
2323,-86.572265625,-188.12233389799766
2324,-86.5234375,-184.70918694827583
2325,-86.474609375,-186.08220406615985
2326,-86.42578125,-188.4084505769341
2327,-86.376953125,-187.52561867837102
2328,-86.328125,-190.30771785991368
2329,-86.279296875,-187.03037731145446
2330,-86.23046875,-186.04675098462195
2331,-86.181640625,-187.21532059115324
2332,-86.1328125,-186.00148011940576
2333,-86.083984375,-187.43196017504056
2334,-86.03515625,-188.01743912959955
2335,-85.986328125,-187.78794750220538
2336,-85.9375,-184.53119848047342
2337,-85.888671875,-188.35707325361543
2338,-85.83984375,-189.02758616245606
2339,-85.791015625,-189.94568037663257
2340,-85.7421875,-188.89950464326049
2341,-85.693359375,-189.81425153757192
2342,-85.64453125,-185.60558365297624
2343,-85.595703125,-187.01205300962326
2344,-85.546875,-188.0912585995362
2345,-85.498046875,-187.81728397700874
2346,-85.44921875,-186.07395478416436
2347,-85.400390625,-188.01128896001833
2348,-85.3515625,-188.7463774872241
2349,-85.302734375,-188.02753847425336
2350,-85.25390625,-189.93292967269852
2351,-85.205078125,-187.50919290056999
2352,-85.15625,-185.67460125806468
2353,-85.107421875,-190.2664406912857
2354,-85.05859375,-189.88666726076576
2355,-85.009765625,-189.14011869353916
2356,-84.9609375,-189.6291287094048
2357,-84.912109375,-187.24021149838043
2358,-84.86328125,-190.68459711197363
2359,-84.814453125,-187.1300500749652
2360,-84.765625,-187.20652980987646
2361,-84.716796875,-187.4036443909542
2362,-84.66796875,-185.72625462436483
2363,-84.619140625,-186.9479754008458
2364,-84.5703125,-188.84160083888403
2365,-84.521484375,-188.41062687240915
2366,-84.47265625,-187.4462725876912
2367,-84.423828125,-190.84617921797516
2368,-84.375,-188.3677877954531
2369,-84.326171875,-185.6642114559655
2370,-84.27734375,-185.75954053942453
2371,-84.228515625,-187.5411080269523
2372,-84.1796875,-190.30711666923008
2373,-84.130859375,-189.73073009926264
2374,-84.08203125,-188.02481651367833
2375,-84.033203125,-188.31894186358858
2376,-83.984375,-185.56341269224907
2377,-83.935546875,-189.90950162847653
2378,-83.88671875,-188.4958857315683
2379,-83.837890625,-189.4183970473976
2380,-83.7890625,-187.09153541860678
2381,-83.740234375,-188.25277522921414
2382,-83.69140625,-185.2148319887228
2383,-83.642578125,-184.92291361217443
2384,-83.59375,-186.43946635891538
2385,-83.544921875,-190.00819313850548
2386,-83.49609375,-190.4232254327127
2387,-83.447265625,-186.62424191583767
2388,-83.3984375,-187.5452494542003
2389,-83.349609375,-185.845804712756
2390,-83.30078125,-188.96955461876246
2391,-83.251953125,-186.31737205556968
2392,-83.203125,-188.20837633937748
2393,-83.154296875,-187.8980272022491
2394,-83.10546875,-187.49250246640443
2395,-83.056640625,-187.3432508083529
2396,-83.0078125,-186.1024605210352
2397,-82.958984375,-186.00379482506523
2398,-82.91015625,-185.59542484100288
2399,-82.861328125,-187.76615929711795
2400,-82.8125,-186.84213216066692
2401,-82.763671875,-184.58312638561995
2402,-82.71484375,-187.69797458416258
2403,-82.666015625,-190.71786610489693
2404,-82.6171875,-190.24218506306087
2405,-82.568359375,-189.29885632019005
2406,-82.51953125,-189.91723348321807
2407,-82.470703125,-188.07696585677436
2408,-82.421875,-185.05950003703038
2409,-82.373046875,-188.29715987225745
