Var1,Var2
-0.456787109375,-151.057614285214
-0.45654296875,-151.056726433677
-0.456298828125,-151.05583338009
-0.4560546875,-151.054935127387
-0.455810546875,-151.054031670127
-0.45556640625,-151.053123008577
-0.455322265625,-151.052209141338
-0.455078125,-151.051290070678
-0.454833984375,-151.050365790244
-0.45458984375,-151.049436304302
-0.454345703125,-151.048501605453
-0.4541015625,-151.047561698759
-0.453857421875,-151.04661657916
-0.45361328125,-151.045666247126
-0.453369140625,-151.044710702499
-0.453125,-151.043749938601
-0.452880859375,-151.04278396338
-0.45263671875,-151.041812766239
-0.452392578125,-151.040836351808
-0.4521484375,-151.039854718173
-0.451904296875,-151.0388678642
-0.45166015625,-151.037875787159
-0.451416015625,-151.036878487357
-0.451171875,-151.035875962551
-0.450927734375,-151.034868210926
